############ tt-always ############
engine   snapshots/tt-always
depth    10 fixed, clock 3600000 ms (time is not a factor)
sampling every 5 plies, table NEVER cleared

  ply  depth       nodes    EBF     occ%    sec  position
 2040     10   1,194,623   4.05  100.000   0.54  5rk1/1pqr1p1p/3Nbbp1/p1P1p3/Q7/1P2BPPP/P
 2045     10     952,373   3.96  100.000   0.35  5rk1/1pq1rpb1/4b1p1/p1P1p2p/Q3N1P1/1P2BP
 2050     10   1,672,350   4.19  100.000   0.75  4rrk1/1pq2pb1/1R2b1p1/p1P1p3/Q3N1P1/1P2B
 2055     10   1,437,514   4.13  100.000   0.55  1rb2rk1/1p2qpb1/1R4p1/p1P1p1N1/2Q3P1/1P2
 2060     10   1,732,828   4.21  100.000   0.72  r4rk1/1p2qpb1/4b1R1/p1P1p1N1/4Q1P1/1P2BP
 2065     10   2,141,344   4.30  100.000   0.82  6k1/1p2q1b1/r3PrR1/p1P1p1N1/4Q3/1P2BP2/P
 2070     10   2,201,805   4.31  100.000   0.88  5k2/1p2qNbR/r3P1Q1/p1P1p3/8/1P2BP2/P3P1K
 2075     10  40,862,445   5.77  100.000  14.84  8/1p2kNbR/r4qQ1/p1P3B1/4p3/1P3P2/P3P1K1/
 2080     10  14,794,901   5.21  100.000   5.06  8/1p1k1NR1/r4BQ1/p1P5/8/1P3P2/P5K1/8 b -
 2085     10  80,468,211   6.17  100.000  25.95  1k6/1p4R1/4NBQ1/p1P5/8/1P3P2/P5K1/8 w - 
 2090     10   8,043,927   4.90  100.000   3.64  r1bqk2r/pp1nbppp/2n1p3/3pP3/3P1P2/5N2/PP
 2095     10   6,314,677   4.79  100.000   2.84  r1b2rk1/pp1nb1pp/1qn1pp2/3pP3/3P1P2/5NP1
 2100     10   2,532,738   4.37  100.000   1.03  r1b2r1k/pp1nb1pp/1qn1p3/3pP3/3P4/P4NP1/1
 2105     10   1,203,245   4.06  100.000   0.56  r1bn1r1k/1p1nb2p/1q2p3/p2pP1p1/3P1N2/P4N
 2110     10   1,341,529   4.10  100.000   0.62  r1bn3k/1p1nbr2/1q2p1Qp/p2pP1p1/3P4/P4NPP
 2115     10   3,415,276   4.50  100.000   1.56  r2n1n1k/1p1bb2r/1q2p2p/p2pP1pQ/3P3P/P4NP
 2120     10   1,433,171   4.13  100.000   0.61  r4n1k/1p1bbn1r/1q2p3/p2pP1N1/3P2Q1/P5P1/
 2125     10   2,658,948   4.39  100.000   1.19  r4n1k/1p1bb2r/4p3/p2pP1B1/3P2Q1/q5P1/4N1
 2130     10       2,894   2.22  100.000   0.00  r4n1k/1p1b1r2/4pP2/p2p3Q/3P4/q5P1/4N1B1/
 2135     10     971,814   3.97  100.000   0.44  r4n1k/1p5r/4pP2/p2p3b/3P2Q1/q5P1/4NKB1/3
 2140     10   3,972,735   4.57  100.000   1.82  r6k/1p5r/4pPn1/p2p4/3P2Q1/q5P1/4K1B1/3R1
 2145     10          40   1.45  100.000   0.00  r6k/1p5r/4pPn1/p2p4/3P2Q1/6P1/3R2B1/1q2K
 2150     10   1,678,362   4.19  100.000   0.76  r6k/1p5r/4pPn1/p2p4/3P2Q1/2q3P1/5RB1/3R1
 2155     10   1,485,947   4.14  100.000   0.64  r4n1k/1p5r/4pP2/p2p4/3P2Q1/1q4P1/5RB1/4R
 2160     10   1,376,593   4.11  100.000   0.57  r6k/1p5B/4pR2/p2p4/3P2Q1/1q4P1/8/4R1K1 b
 2165     10          30   1.41  100.000   0.00  5r1k/1p6/4R3/p2p4/3P2Q1/6P1/8/1B2q1K1 w 
 2170     10          10   1.26  100.000   0.00  5r2/1p4kQ/8/3p4/p2P4/6P1/8/1B2R1K1 b - -
 2175     10   2,046,197   4.28  100.000   0.89  rnbq1rk1/pp2ppbp/3p1np1/8/3NP3/2N5/PPP1B
 2180     10     686,900   3.83  100.000   0.30  r1bq1rk1/p3ppbp/2pp1np1/8/4P3/2N1B2P/PPP
 2185     10   1,849,476   4.23  100.000   0.80  r1bq1rk1/p2n1pbp/2p1p1p1/3pP3/5P2/2N1B2P
 2190     10   3,141,739   4.46  100.000   1.41  r1bq1rk1/p2n1pbp/2p1p3/3pP3/5P2/2N1BB1P/
 2195     10   1,435,873   4.13  100.000   0.67  r1b2rk1/p2n2bp/2p1p1q1/3p4/5P2/2N1B2P/PP
 2200     10   1,709,134   4.20  100.000   0.67  1r3rk1/p2n2bp/b1p1p1q1/3p4/N4P2/4B2P/PPP
 2205     10   1,520,715   4.15  100.000   0.70  1r3rk1/p5bp/2p1pn1q/3p4/N1b2P2/4B2P/PPPQ
 2210     10   2,884,290   4.43  100.000   1.21  1r3r1k/p5bp/2p1p2q/3p4/N1b2P2/4B2P/PPPQ1
 2215     10   1,856,486   4.24  100.000   0.82  1r3r1k/p5bp/2p5/2NppP1q/8/4B2P/bPPQ1RBK/
 2220     10   1,548,820   4.16  100.000   0.73  1r3r1k/p2N1qbp/2B5/4pPB1/3p4/7P/bPPQ1R1K
 2225     10   1,237,214   4.07  100.000   0.48  1r3r1k/p2N1qbp/2B2P2/8/8/4p2P/bPPQ1R1K/6
 2230     10   4,238,653   4.60  100.000   1.75  5r1k/p2N2qp/2B5/8/8/4Q2P/bPP4K/6R1 b - -
 2235     10     890,351   3.94  100.000   0.29  7k/p2N2rp/2B5/8/8/1b2Q2P/2P4K/8 w - - 0 
 2240     10       2,906   2.22  100.000   0.00  8/p2B2kp/8/4Q3/8/1P5P/7K/8 b - - 2 40
 2245     10   1,268,845   4.08  100.000   0.40  4B2k/p6p/4Q3/8/8/1P5P/7K/8 w - - 7 43
 2250     10   1,303,442   4.09  100.000   0.53  r3kbnr/pp1b1ppp/1qn1p3/3pP3/3P4/5N1P/PP2
 2255     10   1,840,392   4.23  100.000   0.82  r3k2r/pp1bbppp/1qn1p3/3pPn2/3P4/5N1P/PPN
 2260     10   1,372,795   4.11  100.000   0.56  2kr3r/pp1bbpp1/1qn1p2p/3pPn2/3P4/P4N1P/1
 2265     10   1,148,942   4.04  100.000   0.49  1k1r3r/1p1bbpp1/1qn1p2p/3pPn2/p2P1B2/P2Q
 2270     10   1,777,833   4.22  100.000   0.78  1k1rr3/1p1bbpp1/1qn1p2p/3pPn2/3P1B2/PR1Q
 2275     10   3,317,068   4.49  100.000   1.38  1kbrr3/1pq1bpp1/2n1p2p/3pP3/3P1BPn/PR1Q1
 2280     10   1,074,739   4.01  100.000   0.45  1kbrr3/1pq2pp1/4p2p/3pP3/1R1P1BPb/P2Q3P/
 2285     10     670,259   3.82  100.000   0.25  1kbrr3/1pq3p1/4pp2/3pP1p1/1R1P2P1/P3Q2P/
 2290     10     524,845   3.73  100.000   0.22  1kbrr3/1p3qp1/4p3/3pPPp1/1R1P4/P5QP/4BP2
 2295     10   1,702,338   4.20  100.000   0.74  1kbr4/1p2r1p1/4p3/2QpP1p1/1R1P1q2/P6P/4B
 2300     10   1,106,308   4.02  100.000   0.50  1kbr4/5rp1/4p3/1BQpP1p1/R2P1q2/P6P/5P2/5
 2305     10   1,905,790   4.25  100.000   0.78  1kb2q2/1r4p1/2Brp3/Q2pP1p1/R2P4/P6P/5P2/
 2310     10   2,769,297   4.41  100.000   1.04  5Q2/1bk3p1/3rp3/3pP1p1/R2P4/P6P/5P2/5RK1
 2315     10   2,274,283   4.32  100.000   0.79  5Q2/2k3p1/2b1p3/3pP1p1/R2P4/P6P/5P2/6K1 
 2320     10          72   1.53  100.000   0.00  8/1k4p1/3Qp3/1R1pP1p1/3P4/P6P/5P2/6K1 b 
 2325     10   1,260,721   4.07  100.000   0.51  r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NPB1P1
 2330     10     789,013   3.89  100.000   0.36  1rbq1rk1/pp3pbp/2npp1pn/2p5/4PP2/2NPB1PP
 2335     10   1,901,068   4.25  100.000   0.84  1rbq1rk1/pp4bp/3pp1pn/2p2p2/3nPP2/2NPB1P
 2340     10   1,312,912   4.09  100.000   0.58  1rb2rk1/6bp/1q1pp1pn/ppp2p2/1P1nPP2/P1NP
 2345     10   1,875,779   4.24  100.000   0.85  1r3rk1/1b4bp/1q1pp1pn/1pp2p2/1P1nPP2/3PB
 2350     10   1,003,655   3.98  100.000   0.46  1r3rk1/1b4bp/3pp1pn/1pp2p2/qP2PP2/1nPPB1
 2355     10   3,049,704   4.45  100.000   1.31  1r3rk1/1b4bp/3Rp1pn/5p2/qPp1PP2/1nP1B1PP
 2360     10   2,865,689   4.42  100.000   1.32  1r3rk1/6bp/4R1p1/3b1n2/qPp1pP2/1nP3PP/NK
 2365     10          25   1.38  100.000   0.00  1r3rk1/6bp/6p1/3BRn2/q1p2P2/1nP3PP/NKQ1N
 2370     10   1,396,739   4.12  100.000   0.62  1r3r1k/6bp/6p1/3BR3/qNp1nP2/1nP3PP/1K2N3
 2375     10   5,569,238   4.73  100.000   2.20  5r1k/6bp/6p1/4R3/1qp1BP2/1n4PP/K3N3/2B1R
 2380     10         381   1.81  100.000   0.00  1r5k/7p/6p1/4P3/2p1B3/Bn4PP/K2qN3/4R3 w 
 2385     10   4,518,003   4.63  100.000   1.52  7k/1r5p/6p1/4P3/1Bp5/6PP/3qN3/1Kn1R3 b -

475 samples at fixed depth 10
total nodes      663,335,911
mean nodes       1,396,497
mean EBF         3.648
final occupancy  100.000%

checkpoints:
  ply 100  nodes      19,625  EBF 2.69  occupancy 26.176%
  ply 200  nodes       2,304  EBF 2.17  occupancy 28.602%
  ply 300  nodes   2,415,769  EBF 4.35  occupancy 69.480%

wrote runs/2026-09-10-v12/tt-depth-full.csv
=== DONE Thu Sep 10 19:03:46 BST 2026 ===
